word,len,pattern
biofeedback,11,ABCDEEFAGHI
biograph,8,ABCDEFGH
biographer,10,ABCDEFGHIE
biographic,10,ABCDEFGHBI
biographical,12,ABCDEFGHBIFJ
biography,9,ABCDEFGHI
biologic,8,ABCDCEBF
biological,10,ABCDCEBFGD
biologist,9,ABCDCEBFG
biology,7,ABCDCEF
biomass,7,ABCDEFF
biomedical,10,ABCDEFBGHI
biomedicine,11,ABCDEFBGBHE
biometric,9,ABCDEFGBH
biometry,8,ABCDEFGH
biomolecule,11,ABCDCEFGHEF
biophysic,9,ABCDEFGBH
biophysical,11,ABCDEFGBHIJ
biophysicist,12,ABCDEFGBHBGI
biopsy,6,ABCDEF
bioscience,10,ABCDEBFGEF
biosphere,9,ABCDEFGHG
biostatistic,12,ABCDEFEBDEBG
biosynthesized,14,ABCDEFGHIDBJIK
biotic,6,ABCDBE
bipartisan,10,ABCDEFBGDH
bipartite,9,ABCDEFBFG
biped,5,ABCDE
biplane,7,ABCDEFG
bipolar,7,ABCDEFG
biracial,8,ABCDEBDF
birch,5,ABCDE
bird,4,ABCD
birdbath,8,ABCDAEFG
birdbaths,9,ABCDAEFGH
birdie,6,ABCDBE
birdlike,8,ABCDEBFG
birdseed,8,ABCDEFFD
birdwatch,9,ABCDEFGHI
birefringence,13,ABCDECBFGDFHD
birefringent,12,ABCDECBFGDFH
birth,5,ABCDE
birth's,7,ABCDEFG
birthday,8,ABCDEFGH
birthplace,10,ABCDEFGHIJ
birthrate,9,ABCDECFDG
birthright,10,ABCDECBFED
births,6,ABCDEF
Biscayne,8,ABCDEFGH
biscuit,7,ABCDEBF
bisect,6,ABCDEF
bisection,9,ABCDEFBGH
bisector,8,ABCDEFGH
biserial,8,ABCDEBFG
bisexual,8,ABCDEFGH
bishop,6,ABCDEF
bishopric,9,ABCDEFGBH
Bismarck,8,ABCDEFGH
bismuth,7,ABCDEFG
bison,5,ABCDE
bisque,6,ABCDEF
bistable,8,ABCDEAFG
bistate,7,ABCDEDF
bisyllabic,10,ABCDEEFABG
bit,3,ABC
bitblt,6,ABCADC
bitch,5,ABCDE
bite,4,ABCD
biting,6,ABCBDE
bitmap,6,ABCDEF
bitten,6,ABCCDE
bitter,6,ABCCDE
bittern,7,ABCCDEF
bitternut,9,ABCCDEFGC
bitterroot,10,ABCCDEEFFC
bittersweet,11,ABCCDEFGDDC
bitumen,7,ABCDEFG
bituminous,10,ABCDEBFGDH
bitwise,7,ABCDBEF
bivalve,7,ABCDECF
bivariate,9,ABCDEBDFG
bivouac,7,ABCDEFG
biweekly,8,ABCDDEFG
bizarre,7,ABCDEEF
blab,4,ABCA
blabbed,7,ABCAADE
blabbermouth,12,ABCAADEFGHIJ
blabbermouths,13,ABCAADEFGHIJK
blabbing,8,ABCAADEF
black,5,ABCDE
blackball,9,ABCDEACBB
blackberry,10,ABCDEAFGGH
blackbird,9,ABCDEAFGH
blackboard,10,ABCDEAFCGH
blackbody,9,ABCDEAFGH
Blackburn,9,ABCDEAFGH
blacken,7,ABCDEFG
Blackfeet,9,ABCDEFGGH
blackjack,9,ABCDEFCDE
blacklist,9,ABCDEBFGH
blackmail,9,ABCDEFCGB
Blackman,8,ABCDEFCG
Blackmer,8,ABCDEFGH
blackout,8,ABCDEFGH
blacksmith,10,ABCDEFGHIJ
blacksmiths,11,ABCDEFGHIJF
Blackstone,10,ABCDEFGHIJ
Blackwell,9,ABCDEFGBB
bladder,7,ABCDDEF
bladdernut,10,ABCDDEFGHI
bladderwort,11,ABCDDEFGHFI
blade,5,ABCDE
Blair,5,ABCDE
Blake,5,ABCDE
Blakey,6,ABCDEF
blamable,8,ABCDCABE
blame,5,ABCDE
blameless,9,ABCDEBEFF
blameworthy,11,ABCDEFGHIJK
blanc,5,ABCDE
blanch,6,ABCDEF
Blanche,7,ABCDEFG
bland,5,ABCDE
blank,5,ABCDE
blanket,7,ABCDEFG
Blanton,7,ABCDEFD
blare,5,ABCDE
blase,5,ABCDE
blaspheme,9,ABCDEFGHG
blasphemous,11,ABCDEFGHIJD
blasphemy,9,ABCDEFGHI
blast,5,ABCDE
blatancy,8,ABCDCEFG
blatant,7,ABCDCED
blather,7,ABCDEFG
blatting,8,ABCDDEFG
Blatz,5,ABCDE
blaze,5,ABCDE
blazing,7,ABCDEFG
blazon,6,ABCDEF
bldg,4,ABCD
bleach,6,ABCDEF
bleak,5,ABCDE
blear,5,ABCDE
bleary,6,ABCDEF
bleat,5,ABCDE
bled,4,ABCD
bleed,5,ABCCD
bleeps,6,ABCCDE
blemish,7,ABCDEFG
blend,5,ABCDE
bless,5,ABCDD
blessed,7,ABCDDCE
blest,5,ABCDE
blew,4,ABCD
blight,6,ABCDEF
blimp,5,ABCDE
blind,5,ABCDE
blinded,7,ABCDEFE
blindfold,9,ABCDEFGBE
blinding,8,ABCDECDF
blink,5,ABCDE
blinking,8,ABCDECDF
blip,4,ABCD
bliss,5,ABCDD
blissful,8,ABCDDEFB
blister,7,ABCDEFG
blistering,10,ABCDEFGCHI
blithe,6,ABCDEF
blitz,5,ABCDE
blitzkrieg,10,ABCDEFGCHI
blizzard,8,ABCDDEFG
bloat,5,ABCDE
blob,4,ABCA
bloc,4,ABCD
block,5,ABCDE
blockade,8,ABCDEFGH
blockage,8,ABCDEFGH
blockhouse,10,ABCDEFCGHI
blocks,6,ABCDEF
blocky,6,ABCDEF
bloke,5,ABCDE
blond,5,ABCDE
blonde,6,ABCDEF
blood,5,ABCCD
bloodbath,9,ABCCDAEFG
bloodhound,10,ABCCDECFGD
bloodless,9,ABCCDBEFF
bloodroot,9,ABCCDECCF
bloodshed,9,ABCCDEFGD
bloodshot,9,ABCCDEFCG
bloodstain,10,ABCCDEFGHI
bloodstream,11,ABCCDEFGHIJ
bloody,6,ABCCDE
bloom,5,ABCCD
Bloomfield,10,ABCCDEFGBH
Bloomington,11,ABCCDEFGHCF
blossom,7,ABCDDCE
blot,4,ABCD
blotch,6,ABCDEF
blotted,7,ABCDDEF
blotting,8,ABCDDEFG
blouse,6,ABCDEF
blow,4,ABCD
blowfish,8,ABCDEFGH
blown,5,ABCDE
blowup,6,ABCDEF
blubber,7,ABCAADE
bludgeon,8,ABCDEFGH
blue,4,ABCD
blueback,8,ABCDAEFG
blueberry,9,ABCDADEEF
bluebill,8,ABCDAEBB
bluebird,8,ABCDAEFG
bluebonnet,10,ABCDAEFFDG
bluebook,8,ABCDAEEF
bluebush,8,ABCDACEF
bluefish,8,ABCDEFGH
bluegill,8,ABCDEFBB
bluegrass,9,ABCDEFGHH
bluejacket,10,ABCDEFGHDI
blueprint,9,ABCDEFGHI
bluestocking,12,ABCDEFGHIJKL
bluff,5,ABCDD
bluish,6,ABCDEF
blunder,7,ABCDEFG
blundering,10,ABCDEFGHDI
blunt,5,ABCDE
blur,4,ABCD
blurb,5,ABCDA
blurred,7,ABCDDEF
blurring,8,ABCDDEFG
blurry,6,ABCDDE
blurt,5,ABCDE
blush,5,ABCDE
blushing,8,ABCDEFGH
bluster,7,ABCDEFG
blustering,10,ABCDEFGHIJ
blustery,8,ABCDEFGH
Blvd,4,ABCD
boa,3,ABC
boar,4,ABCD
board,5,ABCDE
boardinghouse,13,ABCDEFGHIBJKL
boards,6,ABCDEF
boast,5,ABCDE
boastful,8,ABCDEFGH
boat,4,ABCD
boathouse,9,ABCDEBFGH
boatload,8,ABCDEBCF
boatman,7,ABCDECF
boatmen,7,ABCDEFG
boatswain,9,ABCDEFCGH
boatyard,8,ABCDECFG
bob,3,ABA
bobbed,6,ABAACD
Bobbie,6,ABAACD
bobbin,6,ABAACD
bobbing,7,ABAACDE
bobble,6,ABAACD
Bobbsey,7,ABAACDE
bobby,5,ABAAC
bobcat,6,ABACDE
bobolink,8,ABABCDEF
Bobrow,6,ABACBD
bobwhite,8,ABACDEFG
bock,4,ABCD
bockwurst,9,ABCDEFGHI
bode,4,ABCD
Bodenheim,9,ABCDEFDGH
bodhisattva,11,ABCDEFGHHIG
bodice,6,ABCDEF
bodied,6,ABCDEC
bodily,6,ABCDEF
body,4,ABCD
bodybuilder,11,ABCDAEFGCHI
bodybuilding,12,ABCDAEFGCFHI
bodyguard,9,ABCDEFGHC
bodyweight,10,ABCDEFGHIJ
Boeing,6,ABCDEF
Boer,4,ABCD
bog,3,ABC
Bogart,6,ABCDEF
Bogartian,9,ABCDEFGDH
bogey,5,ABCDE
bogeymen,8,ABCDEFDG
bogged,6,ABCCDE
bogging,7,ABCCDEC
boggle,6,ABCCDE
boggy,5,ABCCD
Bogota,6,ABCBDE
bogus,5,ABCDE
bogy,4,ABCD
Boheme,6,ABCDED
Bohemia,7,ABCDEFG
Bohemian,8,ABCDEFGH
Bohr,4,ABCD
boil,4,ABCD
boilermaker,11,ABCDEFGHIEF
boilerplate,11,ABCDEFGDHIE
Boise,5,ABCDE
boisterous,10,ABCDEFGBHD
bold,4,ABCD
boldface,8,ABCDEFGH
bolivar,7,ABCDEFG
Bolivia,7,ABCDEDF
boll,4,ABCC
bolo,4,ABCB
Bologna,7,ABCBDEF
bolometer,9,ABCBDEFEG
Bolshevik,9,ABCDEFGHI
Bolshevism,10,ABCDEFGHDI
Bolshevist,10,ABCDEFGHDI
Bolshevistic,12,ABCDEFGHDIHJ
Bolshoi,7,ABCDEBF
bolster,7,ABCDEFG
bolt,4,ABCD
bolted,6,ABCDEF
Bolton,6,ABCDBE
Boltzmann,9,ABCDEFGHH
bomb,4,ABCA
bombard,7,ABCADEF
bombardment,11,ABCADEFCGHI
bombast,7,ABCADEF
bombastic,9,ABCADEFGH
Bombay,6,ABCADE
bombproof,9,ABCADEBBF
bona,4,ABCD
bonanza,7,ABCDCED
Bonaparte,9,ABCDEDFGH
Bonaventure,11,ABCDEFCGHIF
bond,4,ABCD
bondage,7,ABCDEFG
bondsman,8,ABCDEFGC
bondsmen,8,ABCDEFGC
bone,4,ABCD
bonfire,7,ABCDEFG
bong,4,ABCD
bongo,5,ABCDB
Bonham,6,ABCDEF
Boniface,8,ABCDEFGH
bonito,6,ABCDEB
bonjour,7,ABCDBEF
Bonn,4,ABCC
bonnet,6,ABCCDE
bonneted,8,ABCCDEDF
Bonneville,10,ABCCDEFGGD
Bonnie,6,ABCCDE
bonny,5,ABCCD
Bontempo,8,ABCDEFGB
bonus,5,ABCDE
bony,4,ABCD
bonzes,6,ABCDEF
boo,3,ABB
boob,4,ABBA
booboo,6,ABBABB
booby,5,ABBAC
boogie,6,ABBCDE
book,4,ABBC
bookbind,8,ABBCADEF
bookcase,8,ABBCDEFG
bookend,7,ABBCDEF
bookie,6,ABBCDE
bookish,7,ABBCDEF
bookkeep,8,ABBCCDDE
bookkeeper,10,ABBCCDDEDF
bookkeeping,11,ABBCCDDEFGH
booklet,7,ABBCDEF
bookplate,9,ABBCDEFGH
bookseller,10,ABBCDEFFEG
bookshelf,9,ABBCDEFGH
bookshelves,11,ABBCDEFGHFD
bookstore,9,ABBCDEBFG
boolean,7,ABBCDEF
boom,4,ABBC
boomerang,9,ABBCDEFGH
boomtown,8,ABBCDBEF
boon,4,ABBC
Boone,5,ABBCD
boor,4,ABBC
boorish,7,ABBCDEF
boost,5,ABBCD
boosterism,10,ABBCDEFGCH
boot,4,ABBC
bootblack,9,ABBCADEFG
booths,6,ABBCDE
Bootle,6,ABBCDE
bootleg,7,ABBCDEF
bootlegged,10,ABBCDEFFEG
bootlegger,10,ABBCDEFFEG
bootlegging,11,ABBCDEFFGHF
bootstrap,9,ABBCDCEFG
bootstrapped,12,ABBCDCEFGGHI
bootstrapping,13,ABBCDCEFGGHIJ
booty,5,ABBCD
booze,5,ABBCD
bop,3,ABC
bopping,7,ABCCDEF
borate,6,ABCDEF
borax,5,ABCDE
Bordeaux,8,ABCDEFGH
bordello,8,ABCDEFFB
Borden,6,ABCDEF
border,6,ABCDEC
borderland,10,ABCDECFGHD
borderline,10,ABCDECFGHE
bore,4,ABCD
Borealis,8,ABCDEFGH
Boreas,6,ABCDEF
boredom,7,ABCDEBF
Borg,4,ABCD
boric,5,ABCDE
boring,6,ABCDEF
born,4,ABCD
borne,5,ABCDE
Borneo,6,ABCDEB
boron,5,ABCBD
borosilicate,12,ABCBDEFEGHIJ
borough,7,ABCBDEF
boroughs,8,ABCBDEFG
Borroughs,9,ABCCBDEFG
borrow,6,ABCCBD
Bose,4,ABCD
bosom,5,ABCBD
boson,5,ABCBD
boss,4,ABCC
Bostitch,8,ABCDEDFG
Boston,6,ABCDBE
Bostonian,9,ABCDBEFGE
bosun,5,ABCDE
Boswell,7,ABCDEFF
botanic,7,ABCDEFG
botanical,9,ABCDEFGDH
botanist,8,ABCDEFGC
botany,6,ABCDEF
botch,5,ABCDE
botfly,6,ABCDEF
both,4,ABCD
bother,6,ABCDEF
bothersome,10,ABCDEFGBHE
Botswana,8,ABCDEFGF
bottle,6,ABCCDE
bottleneck,10,ABCCDEFEGH
bottom,6,ABCCBD
bottomless,10,ABCCBDEFGG
bottommost,10,ABCCBDDBEC
botulin,7,ABCDEFG
botulinus,9,ABCDEFGDH
botulism,8,ABCDEFGH
bouffant,8,ABCDDEFG
bough,5,ABCDE
boughs,6,ABCDEF
bought,6,ABCDEF
bouillon,8,ABCDEEBF
boulder,7,ABCDEFG
boulevard,9,ABCDEFGHI
bounce,6,ABCDEF
bouncing,8,ABCDEFDG
bouncy,6,ABCDEF
bound,5,ABCDE
boundary,8,ABCDEFGH
bounded,7,ABCDEFE
boundless,9,ABCDEFGHH
bounds,6,ABCDEF
bounteous,9,ABCDEFBCG
bounty,6,ABCDEF
bouquet,7,ABCDCEF
bourbon,7,ABCDABE
bourgeois,9,ABCDEFBGH
bourgeoisie,11,ABCDEFBGHGF
Bourne,6,ABCDEF
bout,4,ABCD
boutique,8,ABCDEFCG
Bouvier,7,ABCDEFG
bovine,6,ABCDEF
bow,3,ABC
bowdlerize,10,ABCDEFGHIF
bowed,5,ABCDE
bowel,5,ABCDE
Bowes,5,ABCDE
bowie,5,ABCDE
bowl,4,ABCD
bowline,7,ABCDEFG
bowman,6,ABCDEF
bowstring,9,ABCDEFGHI
box,3,ABC
boxcar,6,ABCDEF
boxwood,7,ABCDBBE
boxy,4,ABCD
boy,3,ABC
Boyce,5,ABCDE
boycott,7,ABCDBEE
boyfriend,9,ABCDEFGHI
boyhood,7,ABCDBBE
boyish,6,ABCDEF
bpi,3,ABC
bra,3,ABC
brace,5,ABCDE
bracelet,8,ABCDEFEG
brachia,7,ABCDEFC
brachium,8,ABCDEFGH
bracken,7,ABCDEFG
bracket,7,ABCDEFG
brackish,8,ABCDEFGH
brad,4,ABCD
Bradbury,8,ABCDAEBF
Bradford,8,ABCDEFBD
Bradley,7,ABCDEFG
Bradshaw,8,ABCDEFCG
Brady,5,ABCDE
brae,4,ABCD
brag,4,ABCD
braggadocio,11,ABCDDCEFGHF
bragged,7,ABCDDEF
bragger,7,ABCDDEB
bragging,8,ABCDDEFD
Brahms,6,ABCDEF
braid,5,ABCDE
braille,7,ABCDEEF
brain,5,ABCDE
Brainard,8,ABCDECBF
brainchild,10,ABCDEFGDHI
brainstorm,10,ABCDEFGHBI
brainwash,9,ABCDEFCGH
brainy,6,ABCDEF
brake,5,ABCDE
brakeman,8,ABCDEFCG
brakemen,8,ABCDEFEG
bramble,7,ABCDAEF
brambly,7,ABCDAEF
bran,4,ABCD
branch,6,ABCDEF
branched,8,ABCDEFGH
Branchville,11,ABCDEFGHIIJ
brand,5,ABCDE
Brandeis,8,ABCDEFGH
Brandel,7,ABCDEFG
Brandenburg,11,ABCDEFDAGBH
brandish,8,ABCDEFGH
Brandon,7,ABCDEFD
brandy,6,ABCDEF
brandywine,10,ABCDEFGHDI
Braniff,7,ABCDEFF
Brannon,7,ABCDDED
brash,5,ABCDE
Brasilia,8,ABCDEFEC
brass,5,ABCDD
brassiere,9,ABCDDEFBF
brassy,6,ABCDDE
brat,4,ABCD
bratwurst,9,ABCDEFBGD
Braun,5,ABCDE
bravado,7,ABCDCEF
brave,5,ABCDE
bravery,7,ABCDEBF
bravo,5,ABCDE
bravura,7,ABCDEBC
brawl,5,ABCDE
brawn,5,ABCDE
bray,4,ABCD
braze,5,ABCDE
brazen,6,ABCDEF
brazier,7,ABCDEFB
Brazil,6,ABCDEF
Brazilian,9,ABCDEFECG
breach,6,ABCDEF
bread,5,ABCDE
breadboard,10,ABCDEAFDBE
breadfruit,10,ABCDEFBGHI
breadwinner,11,ABCDEFGHHCB
break,5,ABCDE
breakable,9,ABCDEDAFC
breakage,8,ABCDEDFC
breakaway,9,ABCDEDFDG
breakdown,9,ABCDEFGHI
breakfast,9,ABCDEFDGH
breakpoint,10,ABCDEFGHIJ
breakthrough,12,ABCDEFGBHIJG
breakthroughs,13,ABCDEFGBHIJGK
breakup,7,ABCDEFG
breakwater,10,ABCDEFDGCB
breast,6,ABCDEF
breastfed,9,ABCDEFGCH
breastfeed,10,ABCDEFGCCH
breastplate,11,ABCDEFGHDFC
breastwork,10,ABCDEFGHBI
breath,6,ABCDEF
breathable,10,ABCDEFDAGC
breathe,7,ABCDEFC
breathless,10,ABCDEFGCHH
breaths,7,ABCDEFG
breathtaking,12,ABCDEFEDGHIJ
breathy,7,ABCDEFG
bred,4,ABCD
breech,6,ABCCDE
breed,5,ABCCD
breeze,6,ABCCDC
breezily,8,ABCCDEFG
breezy,6,ABCCDE
bremsstrahlung,14,ABCDEEFBGHIJKL
Brenda,6,ABCDEF
Bresenham,9,ABCDCEFGH
brethren,8,ABCDEBCF
breve,5,ABCDC
brevet,6,ABCDCE
brevity,7,ABCDEFG
brew,4,ABCD
brewery,7,ABCDCBE
Brian,5,ABCDE
briar,5,ABCDB
bribe,5,ABCAD
bribery,7,ABCADBE
brick,5,ABCDE
bricklayer,10,ABCDEFGHIB
bricklaying,11,ABCDEFGHCIJ
brickmason,10,ABCDEFGHIJ
bridal,6,ABCDEF
bride,5,ABCDE
bridegroom,10,ABCDEFBGGH
bridesmaid,10,ABCDEFGHCD
Bridewell,9,ABCDEFEGG
bridge,6,ABCDEF
bridgeable,10,ABCDEFGAHF
bridgehead,10,ABCDEFGFHD
Bridgeport,10,ABCDEFGHBI
Bridgetown,10,ABCDEFGHIJ
Bridgewater,11,ABCDEFGHIFB
bridgework,10,ABCDEFGHBI
bridle,6,ABCDEF
bridled,7,ABCDEFD
brief,5,ABCDE
briefcase,9,ABCDEFGHD
briefing,8,ABCDECFG
Brien,5,ABCDE
brier,5,ABCDB
brig,4,ABCD
brigade,7,ABCDEFG
brigadier,9,ABCDEFCGB
Brigadoon,9,ABCDEFGGH
brigantine,10,ABCDEFGCFH
Brigham,7,ABCDEFG
bright,6,ABCDEF
brighten,8,ABCDEFGH
brightness,10,ABCDEFGHII
brilliance,10,ABCDDCEFGH
brilliancy,10,ABCDDCEFGH
brilliant,9,ABCDDCEFG
brim,4,ABCD
brimful,7,ABCDEFG
brimmed,7,ABCDDEF
brimming,8,ABCDDCEF
brimstone,9,ABCDEFGHI
brindle,7,ABCDEFG
brine,5,ABCDE
bring,5,ABCDE
brink,5,ABCDE
Brinkley,8,ABCDEFGH
brinkmanship,12,ABCDEFGDHICJ
briny,5,ABCDE
brisk,5,ABCDE
bristle,7,ABCDEFG
bristly,7,ABCDEFG
bristol,7,ABCDEFG
Britain,7,ABCDECF
Britannic,9,ABCDEFFCG
Britannica,10,ABCDEFFCGE
britches,8,ABCDEFGH
British,7,ABCDCEF
Briton,6,ABCDEF
Brittany,8,ABCDDEFG
Britten,7,ABCDDEF
brittle,7,ABCDDEF
broach,6,ABCDEF
broad,5,ABCDE
broadband,9,ABCDEADFE
broadcast,9,ABCDEFDGH
broaden,7,ABCDEFG
broadloom,9,ABCDEFCCG
broadside,9,ABCDEFGEH
Broadway,8,ABCDEFDG
brocade,7,ABCDEFG
broccoli,8,ABCDDCEF
brochure,8,ABCDEFBG
Brock,5,ABCDE
broil,5,ABCDE
broke,5,ABCDE
broken,6,ABCDEF
brokerage,9,ABCDEBFGE
bromide,7,ABCDEFG
bromine,7,ABCDEFG
bronc,5,ABCDE
bronchi,7,ABCDEFG
bronchial,9,ABCDEFGHI
bronchiolar,11,ABCDEFGCHIB
bronchiole,10,ABCDEFGCHI
bronchiolitis,13,ABCDEFGCHGIGJ
bronchitis,10,ABCDEFGHGI
bronchus,8,ABCDEFGH
bronco,6,ABCDEC
Bronx,5,ABCDE
bronze,6,ABCDEF
brooch,6,ABCCDE
brood,5,ABCCD
brooding,8,ABCCDEFG
broody,6,ABCCDE
brook,5,ABCCD
Brookdale,9,ABCCDEFGH
Brooke,6,ABCCDE
Brookfield,10,ABCCDEFGHI
Brookhaven,10,ABCCDEFGHI
Brooklyn,8,ABCCDEFG
Brookmont,9,ABCCDECFG
brookside,9,ABCCDEFGH
broom,5,ABCCD
broomstick,10,ABCCDEFGHI
broth,5,ABCDE
brothel,7,ABCDEFG
brother,7,ABCDEFB
brotherhood,11,ABCDEFBECCG
brotherly,9,ABCDEFBGH
brought,7,ABCDEFG
brouhaha,8,ABCDEFEF
brow,4,ABCD
browbeat,8,ABCDAEFG
brown,5,ABCDE
Browne,6,ABCDEF
Brownell,8,ABCDEFGG
Brownian,8,ABCDEFGE
brownie,7,ABCDEFG
brownish,8,ABCDEFGH
brows,5,ABCDE
browse,6,ABCDEF
Bruce,5,ABCDE
brucellosis,11,ABCDEFFGHIH
bruise,6,ABCDEF
brunch,6,ABCDEF
brunette,8,ABCDEFFE
Brunhilde,9,ABCDEFGHI
Bruno,5,ABCDE
brunt,5,ABCDE
brush,5,ABCDE
brushfire,9,ABCDEFGBH
brushlike,9,ABCDEFGHI
brushwork,9,ABCDEFGBH
brushy,6,ABCDEF
brusque,7,ABCDECF
Brussels,8,ABCDDEFD
brutal,6,ABCDEF
brutality,9,ABCDEFGDH
brutalize,9,ABCDEFGHI
brutalized,10,ABCDEFGHIJ
brutalizes,10,ABCDEFGHIJ
brute,5,ABCDE
brutish,7,ABCDEFG
Bruxelles,9,ABCDEFFEG
Bryan,5,ABCDE
Bryant,6,ABCDEF
Bryce,5,ABCDE
Bryn,4,ABCD
BS,2,AB
BSD,3,ABC
bubble,6,ABAACD
bubbly,6,ABAACD
bubonic,7,ABACDEF
Buchanan,8,ABCDEFEF
Bucharest,9,ABCDEFGHI
Buchwald,8,ABCDEFGH
buck,4,ABCD
buckaroo,8,ABCDEFGG
buckboard,9,ABCDAEFGH
bucket,6,ABCDEF
bucketful,9,ABCDEFGBH
buckeye,7,ABCDEFE
buckhorn,8,ABCDEFGH
buckle,6,ABCDEF
buckshot,8,ABCDEFGH
buckskin,8,ABCDEDFG
buckwheat,9,ABCDEFGHI
Bucky,5,ABCDE
bucolic,7,ABCDEFC
bud,3,ABC
Budapest,8,ABCDEFGH
Budd,4,ABCC
budded,6,ABCCDC
Buddha,6,ABCCDE
Buddhism,8,ABCCDEFG
Buddhist,8,ABCCDEFG
budding,7,ABCCDEF
buddy,5,ABCCD
budge,5,ABCDE
budget,6,ABCDEF
budgetary,9,ABCDEFGHI
budging,7,ABCDEFD
Budweiser,9,ABCDEFGEH
Buehring,8,ABCDEFGH
buff,4,ABCC
buffalo,7,ABCCDEF
buffaloes,9,ABCCDEFGH
buffer,6,ABCCDE
buffered,8,ABCCDEDF
bufferer,8,ABCCDEDE
buffet,6,ABCCDE
bufflehead,10,ABCCDEFEGH
buffoon,7,ABCCDDE
buffs,5,ABCCD
bug,3,ABC
bugaboo,7,ABCDAEE
Bugatti,7,ABCDEEF
bugbears,8,ABCADEFG
bugeyed,7,ABCDEDF
bugged,6,ABCCDE
bugger,6,ABCCDE
bugging,7,ABCCDEC
buggy,5,ABCCD
bugle,5,ABCDE
Buick,5,ABCDE
build,5,ABCDE
building,8,ABCDECFG
builds,6,ABCDEF
buildup,7,ABCDEBF
built,5,ABCDE
bulb,4,ABCA
Bulba,5,ABCAD
bulblet,7,ABCACDE
Bulgaria,8,ABCDEFGE
Bulgarian,9,ABCDEFGEH
bulge,5,ABCDE
bulk,4,ABCD
bulkhead,8,ABCDEFGH
bulky,5,ABCDE
bull,4,ABCC
bulldog,7,ABCCDEF
bulldoze,8,ABCCDEFG
bullet,6,ABCCDE
bulletin,8,ABCCDEFG
bulletproof,11,ABCCDEFGHHI
bullfinch,9,ABCCDEFGH
bullfrog,8,ABCCDEFG
bullhead,8,ABCCDEFG
bullheaded,10,ABCCDEFGEG
bullhide,8,ABCCDEFG
bullion,7,ABCCDEF
bullish,7,ABCCDEF
bullseye,8,ABCCDEFE
bullshit,8,ABCCDEFG
bullwhackers,12,ABCCDEFGHIJK
bully,5,ABCCD
bullyboy,8,ABCCDAED
bulrush,7,ABCDBEF
bulwark,7,ABCDEFG
bum,3,ABC
bumble,6,ABCADE
bumblebee,9,ABCADEAEE
bumbling,8,ABCADEFG
Bumbry,6,ABCADE
bummed,6,ABCCDE
bummer,6,ABCCDE
bumming,7,ABCCDEF
bump,4,ABCD
bumptious,9,ABCDEFGBH
bun,3,ABC
bunch,5,ABCDE
Bundestag,9,ABCDEFGHI
bundle,6,ABCDEF
Bundy,5,ABCDE
bungalow,8,ABCDEFGH
bungle,6,ABCDEF
bungling,8,ABCDEFCD
bunion,6,ABCDEC
bunk,4,ABCD
bunker,6,ABCDEF
bunkhouse,9,ABCDEFBGH
bunkmate,8,ABCDEFGH
bunny,5,ABCCD
Bunsen,6,ABCDEC
